director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
james cameron,cch pounder,joel david moore,wes studi,action adventure fantasy sci-fi,Avatar
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,Pirates of the Caribbean: At World's End
sam mendes,christoph waltz,rory kinnear,stephanie sigman,action adventure thriller,Spectre
christopher nolan,tom hardy,christian bale,joseph gordon-levitt,action thriller,The Dark Knight Rises
doug walker,doug walker,rob walker,unknown,documentary,Star Wars: Episode VII - The Force Awakens            
andrew stanton,daryl sabara,samantha morton,polly walker,action adventure sci-fi,John Carter
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure romance,Spider-Man 3
nathan greno,brad garrett,donna murphy,m.c. gainey,adventure animation comedy family fantasy musical romance,Tangled
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action adventure sci-fi,Avengers: Age of Ultron
david yates,alan rickman,daniel radcliffe,rupert grint,adventure family fantasy mystery,Harry Potter and the Half-Blood Prince
zack snyder,henry cavill,lauren cohan,alan d. purwin,action adventure sci-fi,Batman v Superman: Dawn of Justice
bryan singer,kevin spacey,marlon brando,frank langella,action adventure sci-fi,Superman Returns
marc forster,giancarlo giannini,mathieu amalric,rory kinnear,action adventure,Quantum of Solace
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,Pirates of the Caribbean: Dead Man's Chest
gore verbinski,johnny depp,ruth wilson,tom wilkinson,action adventure western,The Lone Ranger
zack snyder,henry cavill,christopher meloni,harry lennix,action adventure fantasy sci-fi,Man of Steel
andrew adamson,peter dinklage,pierfrancesco favino,damián alcázar,action adventure family fantasy,The Chronicles of Narnia: Prince Caspian
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action adventure sci-fi,The Avengers
rob marshall,johnny depp,sam claflin,stephen graham,action adventure fantasy,Pirates of the Caribbean: On Stranger Tides
barry sonnenfeld,will smith,michael stuhlbarg,nicole scherzinger,action adventure comedy family fantasy sci-fi,Men in Black 3
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,The Hobbit: The Battle of the Five Armies
marc webb,emma stone,andrew garfield,chris zylka,action adventure fantasy,The Amazing Spider-Man
