type,title,cast,country,rating,listed_in,combination
Movie,a spark story,apthon corbin  louis gonzales,unknown,tv-pg,documentary,Movie tv-pg documentary apthon corbin  louis gonzales unknown
Movie,spooky buddies,tucker albrizzi  diedrich bader  ameko eks mass carroll,"united states, canada",g,"comedy, fantasy, kids","Movie g comedy, fantasy, kids tucker albrizzi  diedrich bader  ameko eks mass carroll united states, canada"
Movie,the fault in our stars,shailene woodley  ansel elgort  laura dern,united states,pg-13,"coming of age, drama, romance","Movie pg-13 coming of age, drama, romance shailene woodley  ansel elgort  laura dern united states"
Movie,confessions of a shopaholic,isla fisher  hugh dancy  joan cusack,united states,pg,"comedy, romance, romantic comedy","Movie pg comedy, romance, romantic comedy isla fisher  hugh dancy  joan cusack united states"
Movie,descendants: royal wedding,dove cameron  sofia carson  booboo stewart,unknown,tv-g,"animation, fantasy, musical","Movie tv-g animation, fantasy, musical dove cameron  sofia carson  booboo stewart unknown"
Movie,disney's broadway hits at london's royal albert hall,john barrowman  ashley brown  merle dandridge,unknown,tv-g,concert film,Movie tv-g concert film john barrowman  ashley brown  merle dandridge unknown
Movie,flooded tombs of the nile,devin e. haqq,unknown,tv-pg,documentary,Movie tv-pg documentary devin e. haqq unknown
Movie,jade eyed leopard,jeremy irons,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary jeremy irons unknown"
Movie,nona,unknown,unknown,g,"animation, comedy, family","Movie g animation, comedy, family unknown unknown"
Movie,smoky mountain park rangers,peter jessop,unknown,tv-pg,documentary,Movie tv-pg documentary peter jessop unknown
Movie,far away from raven’s home,raven-symoné  issac ryan brown  navia robinson,unknown,tv-g,comedy,Movie tv-g comedy raven-symoné  issac ryan brown  navia robinson unknown
Movie,pirates of the caribbean: on stranger tides,johnny depp  penélope cruz  ian mcshane,"united states, united kingdom",pg-13,"action-adventure, fantasy","Movie pg-13 action-adventure, fantasy johnny depp  penélope cruz  ian mcshane united states, united kingdom"
Movie,twenty something,kaylin price  ariana brown  aliyah taylor,united states,pg,"animation, family","Movie pg animation, family kaylin price  ariana brown  aliyah taylor united states"
Movie,happier than ever: a love letter to los angeles,billie eilish  finneas,united states,tv-14,"concert film, music","Movie tv-14 concert film, music billie eilish  finneas united states"
Movie,tomorrowland,george clooney  hugh laurie  britt robertson,"united states, spain, france, canada, united kingdom",pg,"action-adventure, science fiction","Movie pg action-adventure, science fiction george clooney  hugh laurie  britt robertson united states, spain, france, canada, united kingdom"
Movie,x-men: dark phoenix,james mcavoy  michael fassbender  jennifer lawrence,"united states, canada",pg-13,"action-adventure, family, science fiction","Movie pg-13 action-adventure, family, science fiction james mcavoy  michael fassbender  jennifer lawrence united states, canada"
Movie,cruella,emma stone  emma thompson  joel fry,"united states, united kingdom",pg-13,"crime, drama","Movie pg-13 crime, drama emma stone  emma thompson  joel fry united states, united kingdom"
Movie,dan in real life,steve carell  juliette binoche  dane cook,united states,pg-13,"comedy, drama, romance","Movie pg-13 comedy, drama, romance steve carell  juliette binoche  dane cook united states"
Movie,disney princess remixed - an ultimate princess celebration,txunamy oriz  natalie peyser  dara reneé,unknown,tv-g,"family, music, variety","Movie tv-g family, music, variety txunamy oriz  natalie peyser  dara reneé unknown"
Movie,marvel one-shot: all hail the king,ben kingsley  scoot mcnairy  lester speight,united states,tv-14,"comedy, drama, thriller","Movie tv-14 comedy, drama, thriller ben kingsley  scoot mcnairy  lester speight united states"
Movie,underdog,jason lee  amy adams  jim belushi,united states,pg,"action-adventure, family, parody","Movie pg action-adventure, family, parody jason lee  amy adams  jim belushi united states"
Movie,eragon,ed speleers  jeremy irons  sienna guillory,"united states, united kingdom, hungary",pg,"action-adventure, family, fantasy","Movie pg action-adventure, family, fantasy ed speleers  jeremy irons  sienna guillory united states, united kingdom, hungary"
Movie,aquamarine,jake mcdorman  arielle kebbel  claudia karvan,united states,pg,"comedy, coming of age, fantasy","Movie pg comedy, coming of age, fantasy jake mcdorman  arielle kebbel  claudia karvan united states"
Movie,fantastic four,ioan gruffudd  jessica alba  chris evans,"united states, germany",pg-13,"action-adventure, family, science fiction","Movie pg-13 action-adventure, family, science fiction ioan gruffudd  jessica alba  chris evans united states, germany"
Movie,x-men,patrick stewart  hugh jackman  ian mckellen,united states,pg-13,"action-adventure, family, science fiction","Movie pg-13 action-adventure, family, science fiction patrick stewart  hugh jackman  ian mckellen united states"
Movie,beverly hills chihuahua 2,george lopez  odette yustman  miguel ferrer,united states,g,"action-adventure, comedy, family","Movie g action-adventure, comedy, family george lopez  odette yustman  miguel ferrer united states"
Movie,beverly hills chihuahua 3: viva la fiesta!,george lopez  odette annable  ernie hudson,united states,g,"comedy, coming of age, family","Movie g comedy, coming of age, family george lopez  odette annable  ernie hudson united states"
Movie,killer shark vs killer whale,edward marcoux,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary edward marcoux unknown"
Movie,mrs. doubtfire,robin williams  sally field  pierce brosnan,united states,pg-13,"comedy, drama","Movie pg-13 comedy, drama robin williams  sally field  pierce brosnan united states"
Movie,built for mars: the perseverance rover,steven french,unknown,tv-pg,documentary,Movie tv-pg documentary steven french unknown
Movie,garfield,breckin meyer  jennifer love hewitt  stephen tobolowsky,united states,pg,"comedy, family","Movie pg comedy, family breckin meyer  jennifer love hewitt  stephen tobolowsky united states"
Movie,ice age: the meltdown,ray romano  john leguizamo  denis leary,"united states, united kingdom, australia",pg,"animation, comedy, family","Movie pg animation, comedy, family ray romano  john leguizamo  denis leary united states, united kingdom, australia"
Movie,playing with sharks,valerie taylor  dr. sylvia earle  jeremiah sullivan,unknown,tv-14,"animals & nature, biographical, documentary","Movie tv-14 animals & nature, biographical, documentary valerie taylor  dr. sylvia earle  jeremiah sullivan unknown"
Movie,shark vs. surfer,billy lloyd,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary billy lloyd unknown"
Movie,shark vs. whale,ted stewart,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary ted stewart unknown"
Movie,stuntman,eddie braun,unknown,tv-14,documentary,Movie tv-14 documentary eddie braun unknown
Movie,walking with dinosaurs: the movie,john leguizamo  justin long  tiya sircar,unknown,pg,"action-adventure, family, fantasy","Movie pg action-adventure, family, fantasy john leguizamo  justin long  tiya sircar unknown"
Movie,what the shark?,robert davi,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary robert davi unknown"
Movie,most wanted sharks,unknown,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary unknown unknown"
Movie,secrets of the bull shark,keston john,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary keston john unknown"
Movie,shark attack investigation: the paige winter story,unknown,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary unknown unknown"
Movie,sharkcano,dan nachtrab,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary dan nachtrab unknown"
Movie,we bought a zoo,matt damon  scarlett johansson  thomas haden church,united states,pg,"animals & nature, drama, family","Movie pg animals & nature, drama, family matt damon  scarlett johansson  thomas haden church united states"
Movie,world's biggest bullshark,jason hildebrandt,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary jason hildebrandt unknown"
Movie,world's most dangerous shark?,brain cade,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary brain cade unknown"
Movie,flicka,alison lohman  tim mcgraw  maria bello,"united states, united kingdom",pg,"animals & nature, coming of age, drama","Movie pg animals & nature, coming of age, drama alison lohman  tim mcgraw  maria bello united states, united kingdom"
Movie,"miraculous world: shanghai, the legend of ladydragon","cristina 'vee"" valenzuela  bryce papenbrook  keith silverstein",unknown,tv-y7-fv,"animation, fantasy","Movie tv-y7-fv animation, fantasy cristina 'vee"" valenzuela  bryce papenbrook  keith silverstein unknown"
Movie,orca vs. great white,kina scollay  ingrid visser  ray robertson,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary kina scollay  ingrid visser  ray robertson unknown"
Movie,rogue shark?,mocean melvin,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary mocean melvin unknown"
Movie,shark beach with chris hemsworth,chris hemsworth,united states,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary chris hemsworth united states"
Movie,shark gangs,unknown,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary unknown unknown"
Movie,the croc that ate jaws,dan nachtrab,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary dan nachtrab unknown"
Movie,"the good, the bart, and the loki",dan castellaneta  nancy cartwright  yeardley smith,unknown,tv-pg,"animation, comedy, parody","Movie tv-pg animation, comedy, parody dan castellaneta  nancy cartwright  yeardley smith unknown"
Movie,the sandlot,art la fleur  tom guiry  mike vitar,united states,pg,"comedy, coming of age, family","Movie pg comedy, coming of age, family art la fleur  tom guiry  mike vitar united states"
Movie,the sandlot 2,max lloyd-jones  james willson  samantha burton,united states,pg,"comedy, sports","Movie pg comedy, sports max lloyd-jones  james willson  samantha burton united states"
Movie,adventures in babysitting,elisabeth shue  maia brewton  keith coogan,united states,tv-pg,"action-adventure, comedy, coming of age","Movie tv-pg action-adventure, comedy, coming of age elisabeth shue  maia brewton  keith coogan united states"
Movie,wolfgang,wolfgang puck,unknown,tv-pg,"biographical, documentary","Movie tv-pg biographical, documentary wolfgang puck unknown"
Movie,luca,jacob tremblay  jack dylan grazer  emma berman,united states,pg,"animation, buddy, coming of age","Movie pg animation, buddy, coming of age jacob tremblay  jack dylan grazer  emma berman united states"
Movie,strange magic,alan cumming  evan rachel wood  elijah kelley,"united states, canada, united kingdom, singapore, australia, thailand",pg,"action-adventure, animation, family","Movie pg action-adventure, animation, family alan cumming  evan rachel wood  elijah kelley united states, canada, united kingdom, singapore, australia, thailand"
Movie,the happiest millionaire,fred macmurray  tommy steele  greer garson,united states,g,"biographical, coming of age, family","Movie g biographical, coming of age, family fred macmurray  tommy steele  greer garson united states"
