type,title,cast,country,rating,listed_in,cast_list,combination
TV Show,blood & water,ama qamata  khosi ngema  gail mabalane,south africa,TV-MA,"international tv shows, tv dramas, tv mysteries",Ama Qamata  Khosi Ngema  Gail Mabalane,"TV Show TV-MA international tv shows, tv dramas, tv mysteries south africa ama qamata  khosi ngema  gail mabalane"
TV Show,ganglands,sami bouajila  tracy gotoas  samuel jouy,unknown,TV-MA,"crime tv shows, international tv shows, tv action & adventure",Sami Bouajila  Tracy Gotoas  Samuel Jouy,"TV Show TV-MA crime tv shows, international tv shows, tv action & adventure unknown sami bouajila  tracy gotoas  samuel jouy"
TV Show,jailbirds new orleans,unknown,unknown,TV-MA,"docuseries, reality tv",unknown,"TV Show TV-MA docuseries, reality tv unknown unknown"
TV Show,kota factory,mayur more  jitendra kumar  ranjan raj,india,TV-MA,"international tv shows, romantic tv shows, tv comedies",Mayur More  Jitendra Kumar  Ranjan Raj,"TV Show TV-MA international tv shows, romantic tv shows, tv comedies india mayur more  jitendra kumar  ranjan raj"
TV Show,midnight mass,kate siegel  zach gilford  hamish linklater,unknown,TV-MA,"tv dramas, tv horror, tv mysteries",Kate Siegel  Zach Gilford  Hamish Linklater,"TV Show TV-MA tv dramas, tv horror, tv mysteries unknown kate siegel  zach gilford  hamish linklater"
TV Show,the great british baking show,mel giedroyc  sue perkins  mary berry,united kingdom,TV-14,"british tv shows, reality tv",Mel Giedroyc  Sue Perkins  Mary Berry,"TV Show TV-14 british tv shows, reality tv united kingdom mel giedroyc  sue perkins  mary berry"
TV Show,"vendetta: truth, lies and the mafia",unknown,unknown,TV-MA,"crime tv shows, docuseries, international tv shows",unknown,"TV Show TV-MA crime tv shows, docuseries, international tv shows unknown unknown"
TV Show,bangkok breaking,sukollawat kanarot  sushar manaying  pavarit mongkolpisit,unknown,TV-MA,"crime tv shows, international tv shows, tv action & adventure",Sukollawat Kanarot  Sushar Manaying  Pavarit Mongkolpisit,"TV Show TV-MA crime tv shows, international tv shows, tv action & adventure unknown sukollawat kanarot  sushar manaying  pavarit mongkolpisit"
TV Show,crime stories: india detectives,unknown,unknown,TV-MA,"british tv shows, crime tv shows, docuseries",unknown,"TV Show TV-MA british tv shows, crime tv shows, docuseries unknown unknown"
TV Show,dear white people,logan browning  brandon p. bell  deron horton,united states,TV-MA,"tv comedies, tv dramas",Logan Browning  Brandon P. Bell  DeRon Horton,"TV Show TV-MA tv comedies, tv dramas united states logan browning  brandon p. bell  deron horton"
TV Show,falsa identidad,luis ernesto franco  camila sodi  sergio goyri,mexico,TV-MA,"crime tv shows, spanish-language tv shows, tv dramas",Luis Ernesto Franco  Camila Sodi  Sergio Goyri,"TV Show TV-MA crime tv shows, spanish-language tv shows, tv dramas mexico luis ernesto franco  camila sodi  sergio goyri"
TV Show,jaguar,blanca suárez  iván marcos  óscar casas,unknown,TV-MA,"international tv shows, spanish-language tv shows, tv action & adventure",Blanca Suárez  Iván Marcos  Óscar Casas,"TV Show TV-MA international tv shows, spanish-language tv shows, tv action & adventure unknown blanca suárez  iván marcos  óscar casas"
TV Show,monsters inside: the 24 faces of billy milligan,unknown,unknown,TV-14,"crime tv shows, docuseries, international tv shows",unknown,"TV Show TV-14 crime tv shows, docuseries, international tv shows unknown unknown"
TV Show,resurrection: ertugrul,engin altan düzyatan  serdar gökhan  hülya darcan,turkey,TV-14,"international tv shows, tv action & adventure, tv dramas",Engin Altan Düzyatan  Serdar Gökhan  Hülya Darcan,"TV Show TV-14 international tv shows, tv action & adventure, tv dramas turkey engin altan düzyatan  serdar gökhan  hülya darcan"
TV Show,love on the spectrum,brooke satchwell,australia,TV-14,"docuseries, international tv shows, reality tv",Brooke Satchwell,"TV Show TV-14 docuseries, international tv shows, reality tv australia brooke satchwell"
TV Show,chicago party aunt,lauren ash  rory o'malley  rupaul charles,unknown,TV-MA,tv comedies,Lauren Ash  Rory O'Malley  RuPaul Charles,TV Show TV-MA tv comedies unknown lauren ash  rory o'malley  rupaul charles
TV Show,sex education,asa butterfield  gillian anderson  ncuti gatwa,united kingdom,TV-MA,"british tv shows, international tv shows, tv comedies",Asa Butterfield  Gillian Anderson  Ncuti Gatwa,"TV Show TV-MA british tv shows, international tv shows, tv comedies united kingdom asa butterfield  gillian anderson  ncuti gatwa"
TV Show,squid game,lee jung-jae  park hae-soo  wi ha-jun,unknown,TV-MA,"international tv shows, tv dramas, tv thrillers",Lee Jung-jae  Park Hae-soo  Wi Ha-jun,"TV Show TV-MA international tv shows, tv dramas, tv thrillers unknown lee jung-jae  park hae-soo  wi ha-jun"
TV Show,tayo and little wizards,dami lee  jason lee  bommie catherine han,unknown,TV-Y7,kids' tv,Dami Lee  Jason Lee  Bommie Catherine Han,TV Show TV-Y7 kids' tv unknown dami lee  jason lee  bommie catherine han
TV Show,angry birds,antti pääkkönen  heljä heikkinen  lynne guaglione,finland,TV-Y7,"kids' tv, tv comedies",Antti Pääkkönen  Heljä Heikkinen  Lynne Guaglione,"TV Show TV-Y7 kids' tv, tv comedies finland antti pääkkönen  heljä heikkinen  lynne guaglione"
TV Show,chhota bheem,vatsal dubey  julie tejwani  rupa bhimani,india,TV-Y7,kids' tv,Vatsal Dubey  Julie Tejwani  Rupa Bhimani,TV Show TV-Y7 kids' tv india vatsal dubey  julie tejwani  rupa bhimani
TV Show,he-man and the masters of the universe,yuri lowenthal  kimberly brooks  antony del rio,united states,TV-Y7,"kids' tv, tv sci-fi & fantasy",Yuri Lowenthal  Kimberly Brooks  Antony Del Rio,"TV Show TV-Y7 kids' tv, tv sci-fi & fantasy united states yuri lowenthal  kimberly brooks  antony del rio"
TV Show,the smart money woman,osas ighodaro  ini dima-okojie  kemi lala akindoju,unknown,TV-MA,"international tv shows, romantic tv shows, tv comedies",Osas Ighodaro  Ini Dima-Okojie  Kemi Lala Akindoju,"TV Show TV-MA international tv shows, romantic tv shows, tv comedies unknown osas ighodaro  ini dima-okojie  kemi lala akindoju"
TV Show,castle and castle,richard mofe-damijo  dakore akande  bimbo manuel,nigeria,TV-MA,"international tv shows, tv dramas",Richard Mofe-Damijo  Dakore Akande  Bimbo Manuel,"TV Show TV-MA international tv shows, tv dramas nigeria richard mofe-damijo  dakore akande  bimbo manuel"
TV Show,dharmakshetra,kashmira irani  chandan anand  dinesh mehta,india,TV-PG,"international tv shows, tv dramas, tv sci-fi & fantasy",Kashmira Irani  Chandan Anand  Dinesh Mehta,"TV Show TV-PG international tv shows, tv dramas, tv sci-fi & fantasy india kashmira irani  chandan anand  dinesh mehta"
TV Show,nailed it,nicole byer  jacques torres,united states,TV-PG,reality tv,Nicole Byer  Jacques Torres,TV Show TV-PG reality tv united states nicole byer  jacques torres
TV Show,numberblocks,beth chalmers  david holt  marcel mccalla,united kingdom,TV-Y,kids' tv,Beth Chalmers  David Holt  Marcel McCalla,TV Show TV-Y kids' tv united kingdom beth chalmers  david holt  marcel mccalla
TV Show,raja rasoi aur anya kahaniyan,unknown,india,TV-G,"docuseries, international tv shows",unknown,"TV Show TV-G docuseries, international tv shows india unknown"
TV Show,saved by the bell,mark-paul gosselaar  tiffani thiessen  mario lopez,united states,TV-PG,"kids' tv, tv comedies",Mark-Paul Gosselaar  Tiffani Thiessen  Mario Lopez,"TV Show TV-PG kids' tv, tv comedies united states mark-paul gosselaar  tiffani thiessen  mario lopez"
TV Show,stories by rabindranath tagore,unknown,india,TV-PG,"international tv shows, tv dramas",unknown,"TV Show TV-PG international tv shows, tv dramas india unknown"
TV Show,too hot to handle: latino,itatí cantoral,unknown,TV-MA,"international tv shows, reality tv, romantic tv shows",Itatí Cantoral,"TV Show TV-MA international tv shows, reality tv, romantic tv shows unknown itatí cantoral"
TV Show,jack whitehall: travels with my father,jack whitehall  michael whitehall,united kingdom,TV-MA,"british tv shows, docuseries, international tv shows",Jack Whitehall  Michael Whitehall,"TV Show TV-MA british tv shows, docuseries, international tv shows united kingdom jack whitehall  michael whitehall"
TV Show,the world's most amazing vacation rentals,unknown,unknown,TV-PG,reality tv,unknown,TV Show TV-PG reality tv unknown unknown
TV Show,yowamushi pedal,daiki yamashita  kohsuke toriumi  jun fukushima,japan,TV-14,"anime series, international tv shows",Daiki Yamashita  Kohsuke Toriumi  Jun Fukushima,"TV Show TV-14 anime series, international tv shows japan daiki yamashita  kohsuke toriumi  jun fukushima"
