type,title,cast,rating,listed_in,combination
Movie,the grand seduction,brendan gleeson  taylor kitsch  gordon pinsent,unknown,"comedy, drama","Movie unknown comedy, drama brendan gleeson  taylor kitsch  gordon pinsent"
Movie,take care good night,mahesh manjrekar  abhay mahajan  sachin khedekar,13+,"drama, international","Movie 13+ drama, international mahesh manjrekar  abhay mahajan  sachin khedekar"
Movie,secrets of deception,tom sizemore  lorenzo lamas  robert lasardo,unknown,"action, drama, suspense","Movie unknown action, drama, suspense tom sizemore  lorenzo lamas  robert lasardo"
Movie,pink: staying true,interviews with: pink  adele  beyoncé,unknown,documentary,Movie unknown documentary interviews with: pink  adele  beyoncé
Movie,monster maker,harry dean stanton  kieran o'brien  george costigan,unknown,"drama, fantasy","Movie unknown drama, fantasy harry dean stanton  kieran o'brien  george costigan"
Movie,living with dinosaurs,gregory chisholm  juliet stevenson  brian henson,unknown,"fantasy, kids","Movie unknown fantasy, kids gregory chisholm  juliet stevenson  brian henson"
Movie,hired gun,alice cooper  liberty devitto  ray parker jr.,unknown,"documentary, special interest","Movie unknown documentary, special interest alice cooper  liberty devitto  ray parker jr."
Movie,grease live!,julianne hough  aaron tveit  vanessa hudgens,unknown,comedy,Movie unknown comedy julianne hough  aaron tveit  vanessa hudgens
Movie,global meltdown,michael paré  leanne khol young  patrick j. maceachern,unknown,"action, science fiction, suspense","Movie unknown action, science fiction, suspense michael paré  leanne khol young  patrick j. maceachern"
Movie,david's mother,kirstie alley  sam waterston  stockard channing,unknown,drama,Movie unknown drama kirstie alley  sam waterston  stockard channing
Movie,forest fairies,emily wilder  adrian cowan  gary mckenzie,unknown,"adventure, kids","Movie unknown adventure, kids emily wilder  adrian cowan  gary mckenzie"
Movie,take care,leslie bibb  kevin curtis  nadia dajani,unknown,comedy,Movie unknown comedy leslie bibb  kevin curtis  nadia dajani
Movie,the night eats the world,anders danielsen lie  golshifteh farahani  denis lavant,unknown,"horror, suspense","Movie unknown horror, suspense anders danielsen lie  golshifteh farahani  denis lavant"
Movie,resilencia,rafinha alcantara  marc-andré ter stegen  sergi roberto,unknown,"documentary, sports","Movie unknown documentary, sports rafinha alcantara  marc-andré ter stegen  sergi roberto"
Movie,elon musk: the real life iron man,elon musk  per wimmer  julie anderson-ankenbrandt,unknown,documentary,Movie unknown documentary elon musk  per wimmer  julie anderson-ankenbrandt
