director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination
james cameron,cch pounder,joel david moore,wes studi,action adventure fantasy sci-fi,avatar,james cameron cch pounder joel david moorewes studiaction adventure fantasy sci-fi
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: at world's end,gore verbinski johnny depp orlando bloomjack davenportaction adventure fantasy
sam mendes,christoph waltz,rory kinnear,stephanie sigman,action adventure thriller,spectre,sam mendes christoph waltz rory kinnearstephanie sigmanaction adventure thriller
christopher nolan,tom hardy,christian bale,joseph gordon-levitt,action thriller,the dark knight rises,christopher nolan tom hardy christian balejoseph gordon-levittaction thriller
doug walker,doug walker,rob walker,unknown,documentary,star wars: episode vii - the force awakens            ,doug walker doug walker rob walkerunknowndocumentary
andrew stanton,daryl sabara,samantha morton,polly walker,action adventure sci-fi,john carter,andrew stanton daryl sabara samantha mortonpolly walkeraction adventure sci-fi
nathan greno,brad garrett,donna murphy,m.c. gainey,adventure animation comedy family fantasy musical romance,tangled,nathan greno brad garrett donna murphym.c. gaineyadventure animation comedy family fantasy musical romance
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action adventure sci-fi,avengers: age of ultron,joss whedon chris hemsworth robert downey jr.scarlett johanssonaction adventure sci-fi
david yates,alan rickman,daniel radcliffe,rupert grint,adventure family fantasy mystery,harry potter and the half-blood prince,david yates alan rickman daniel radclifferupert grintadventure family fantasy mystery
zack snyder,henry cavill,lauren cohan,alan d. purwin,action adventure sci-fi,batman v superman: dawn of justice,zack snyder henry cavill lauren cohanalan d. purwinaction adventure sci-fi
bryan singer,kevin spacey,marlon brando,frank langella,action adventure sci-fi,superman returns,bryan singer kevin spacey marlon brandofrank langellaaction adventure sci-fi
marc forster,giancarlo giannini,mathieu amalric,rory kinnear,action adventure,quantum of solace,marc forster giancarlo giannini mathieu amalricrory kinnearaction adventure
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: dead man's chest,gore verbinski johnny depp orlando bloomjack davenportaction adventure fantasy
gore verbinski,johnny depp,ruth wilson,tom wilkinson,action adventure western,the lone ranger,gore verbinski johnny depp ruth wilsontom wilkinsonaction adventure western
zack snyder,henry cavill,christopher meloni,harry lennix,action adventure fantasy sci-fi,man of steel,zack snyder henry cavill christopher meloniharry lennixaction adventure fantasy sci-fi
andrew adamson,peter dinklage,pierfrancesco favino,damián alcázar,action adventure family fantasy,the chronicles of narnia: prince caspian,andrew adamson peter dinklage pierfrancesco favinodamián alcázaraction adventure family fantasy
rob marshall,johnny depp,sam claflin,stephen graham,action adventure fantasy,pirates of the caribbean: on stranger tides,rob marshall johnny depp sam claflinstephen grahamaction adventure fantasy
barry sonnenfeld,will smith,michael stuhlbarg,nicole scherzinger,action adventure comedy family fantasy sci-fi,men in black 3,barry sonnenfeld will smith michael stuhlbargnicole scherzingeraction adventure comedy family fantasy sci-fi
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: the battle of the five armies,peter jackson aidan turner adam brownjames nesbittadventure fantasy
marc webb,emma stone,andrew garfield,chris zylka,action adventure fantasy,the amazing spider-man,marc webb emma stone andrew garfieldchris zylkaaction adventure fantasy
ridley scott,mark addy,william hurt,scott grimes,action adventure drama history,robin hood,ridley scott mark addy william hurtscott grimesaction adventure drama history
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: the desolation of smaug,peter jackson aidan turner adam brownjames nesbittadventure fantasy
chris weitz,christopher lee,eva green,kristin scott thomas,adventure family fantasy,the golden compass,chris weitz christopher lee eva greenkristin scott thomasadventure family fantasy
james cameron,leonardo dicaprio,kate winslet,gloria stuart,drama romance,titanic,james cameron leonardo dicaprio kate winsletgloria stuartdrama romance
anthony russo,robert downey jr.,scarlett johansson,chris evans,action adventure sci-fi,captain america: civil war,anthony russo robert downey jr. scarlett johanssonchris evansaction adventure sci-fi
peter berg,liam neeson,alexander skarsgård,tadanobu asano,action adventure sci-fi thriller,battleship,peter berg liam neeson alexander skarsgårdtadanobu asanoaction adventure sci-fi thriller
colin trevorrow,bryce dallas howard,judy greer,omar sy,action adventure sci-fi thriller,jurassic world,colin trevorrow bryce dallas howard judy greeromar syaction adventure sci-fi thriller
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure fantasy romance,spider-man 2,sam raimi j.k. simmons james francokirsten dunstaction adventure fantasy romance
shane black,robert downey jr.,jon favreau,don cheadle,action adventure sci-fi,iron man 3,shane black robert downey jr. jon favreaudon cheadleaction adventure sci-fi
brett ratner,hugh jackman,kelsey grammer,daniel cudmore,action adventure fantasy sci-fi thriller,x-men: the last stand,brett ratner hugh jackman kelsey grammerdaniel cudmoreaction adventure fantasy sci-fi thriller
dan scanlon,steve buscemi,tyler labine,sean hayes,adventure animation comedy family fantasy,monsters university,dan scanlon steve buscemi tyler labinesean hayesadventure animation comedy family fantasy
michael bay,glenn morshower,kevin dunn,ramon rodriguez,action adventure sci-fi,transformers: revenge of the fallen,michael bay glenn morshower kevin dunnramon rodriguezaction adventure sci-fi
michael bay,bingbing li,sophia myles,kelsey grammer,action adventure sci-fi,transformers: age of extinction,michael bay bingbing li sophia myleskelsey grammeraction adventure sci-fi
marc webb,emma stone,andrew garfield,b.j. novak,action adventure fantasy sci-fi,the amazing spider-man 2,marc webb emma stone andrew garfieldb.j. novakaction adventure fantasy sci-fi
john lasseter,joe mantegna,thomas kretschmann,eddie izzard,adventure animation comedy family sport,cars 2,john lasseter joe mantegna thomas kretschmanneddie izzardadventure animation comedy family sport
martin campbell,ryan reynolds,temuera morrison,taika waititi,action adventure sci-fi,green lantern,martin campbell ryan reynolds temuera morrisontaika waititiaction adventure sci-fi
