type,title,cast,country,rating,listed_in,cast_list,combination
Movie,dick johnson is dead,unknown,united states,PG-13,documentaries,unknown,Movie PG-13 documentaries united states unknown
Movie,my little pony: a new generation,vanessa hudgens  kimiko glenn  james marsden,unknown,PG,children & family movies,Vanessa Hudgens  Kimiko Glenn  James Marsden,Movie PG children & family movies unknown vanessa hudgens  kimiko glenn  james marsden
Movie,sankofa,kofi ghanaba  oyafunmike ogunlano  alexandra duah,"united states, ghana, burkina faso, united kingdom, germany, ethiopia",TV-MA,"dramas, independent movies, international movies",Kofi Ghanaba  Oyafunmike Ogunlano  Alexandra Duah,"Movie TV-MA dramas, independent movies, international movies united states, ghana, burkina faso, united kingdom, germany, ethiopia kofi ghanaba  oyafunmike ogunlano  alexandra duah"
Movie,the starling,melissa mccarthy  chris o'dowd  kevin kline,united states,PG-13,"comedies, dramas",Melissa McCarthy  Chris O'Dowd  Kevin Kline,"Movie PG-13 comedies, dramas united states melissa mccarthy  chris o'dowd  kevin kline"
Movie,je suis karl,luna wedler  jannis niewöhner  milan peschel,"germany, czech republic",TV-MA,"dramas, international movies",Luna Wedler  Jannis Niewöhner  Milan Peschel,"Movie TV-MA dramas, international movies germany, czech republic luna wedler  jannis niewöhner  milan peschel"
Movie,confessions of an invisible girl,klara castanho  lucca picon  júlia gomes,unknown,TV-PG,"children & family movies, comedies",Klara Castanho  Lucca Picon  Júlia Gomes,"Movie TV-PG children & family movies, comedies unknown klara castanho  lucca picon  júlia gomes"
Movie,europe's most dangerous man: otto skorzeny in spain,unknown,unknown,TV-MA,"documentaries, international movies",unknown,"Movie TV-MA documentaries, international movies unknown unknown"
Movie,intrusion,freida pinto  logan marshall-green  robert john burke,unknown,TV-14,thrillers,Freida Pinto  Logan Marshall-Green  Robert John Burke,Movie TV-14 thrillers unknown freida pinto  logan marshall-green  robert john burke
Movie,avvai shanmughi,kamal hassan  meena  gemini ganesan,unknown,TV-PG,"comedies, international movies",Kamal Hassan  Meena  Gemini Ganesan,"Movie TV-PG comedies, international movies unknown kamal hassan  meena  gemini ganesan"
Movie,go! go! cory carson: chrissy takes the wheel,maisie benson  paul killam  kerry gudjohnsen,unknown,TV-Y,children & family movies,Maisie Benson  Paul Killam  Kerry Gudjohnsen,Movie TV-Y children & family movies unknown maisie benson  paul killam  kerry gudjohnsen
Movie,jeans,prashanth  aishwarya rai bachchan  sri lakshmi,india,TV-14,"comedies, international movies, romantic movies",Prashanth  Aishwarya Rai Bachchan  Sri Lakshmi,"Movie TV-14 comedies, international movies, romantic movies india prashanth  aishwarya rai bachchan  sri lakshmi"
