type,title,cast,country,rating,listed_in,combination
TV Show,dog: impossible,matt beisner,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family matt beisner united states"
TV Show,spidey and his amazing friends,benjamin valic  lily sanfelippo  jakari fraser,united states,tv-y,"action-adventure, animation, kids","TV Show tv-y action-adventure, animation, kids benjamin valic  lily sanfelippo  jakari fraser united states"
TV Show,star wars: visions,unknown,unknown,tv-pg,"action-adventure, animation, anime","TV Show tv-pg action-adventure, animation, anime unknown unknown"
TV Show,life below zero,chip hailstone  agnes hailstone  sue aikens,united states,tv-14,"action-adventure, animals & nature, docuseries","TV Show tv-14 action-adventure, animals & nature, docuseries chip hailstone  agnes hailstone  sue aikens united states"
TV Show,miraculous: tales of ladybug & cat noir,cristina vee  bryce papenbrook  keith silverstein,"france, south korea, japan, united states",tv-y7,"action-adventure, animation, fantasy","TV Show tv-y7 action-adventure, animation, fantasy cristina vee  bryce papenbrook  keith silverstein france, south korea, japan, united states"
TV Show,ready for preschool,unknown,unknown,tv-y,"kids, music","TV Show tv-y kids, music unknown unknown"
TV Show,unknown waters with jeremy wade,jeremy wade,unknown,tv-14,"animals & nature, docuseries","TV Show tv-14 animals & nature, docuseries jeremy wade unknown"
TV Show,"doogie kamealoha, m.d.",peyton elizabeth lee  emma meisel  matthew sato,united states,tv-pg,"comedy, coming of age, family","TV Show tv-pg comedy, coming of age, family peyton elizabeth lee  emma meisel  matthew sato united states"
TV Show,"mira, royal detective",leela ladnier  utkarsh ambudkar  roshni edwards,united states,tv-y,"animation, fantasy, kids","TV Show tv-y animation, fantasy, kids leela ladnier  utkarsh ambudkar  roshni edwards united states"
TV Show,pepper ann,kathleen wilhoite  clea lewis  danny cooksey,united states,tv-y,"animation, comedy, coming of age","TV Show tv-y animation, comedy, coming of age kathleen wilhoite  clea lewis  danny cooksey united states"
TV Show,the incredible dr. pol,rick robles  dr. pol,united states,tv-14,"animals & nature, docuseries, family","TV Show tv-14 animals & nature, docuseries, family rick robles  dr. pol united states"
TV Show,alaska animal rescue,victoria vosburg,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family victoria vosburg united states"
TV Show,dug days,bob peterson  ed asner  jordan nagai,united states,tv-pg,"animation, comedy, family","TV Show tv-pg animation, comedy, family bob peterson  ed asner  jordan nagai united states"
